user,feature,can_create,can_read,can_update,can_delete
kpvarma,Products,TRUE,TRUE,TRUE,TRUE
kpvarma,Categories,TRUE,TRUE,TRUE,TRUE
kpvarma,Brands,TRUE,TRUE,TRUE,TRUE
kpvarma,Events & News,TRUE,TRUE,TRUE,TRUE
kpvarma,Subscriptions,TRUE,TRUE,TRUE,TRUE
kpvarma,Enquiries,TRUE,TRUE,TRUE,TRUE
kpvarma,Teams,TRUE,TRUE,TRUE,TRUE
kpvarma,Testimonials,TRUE,TRUE,TRUE,TRUE
kpvarma,Careers / Jobs,TRUE,TRUE,TRUE,TRUE
,,,,,
vinodh,Products,TRUE,TRUE,TRUE,TRUE
vinodh,Categories,TRUE,TRUE,TRUE,TRUE
vinodh,Brands,TRUE,TRUE,TRUE,TRUE
vinodh,Events & News,TRUE,TRUE,TRUE,TRUE
vinodh,Subscriptions,TRUE,TRUE,TRUE,TRUE
vinodh,Enquiries,TRUE,TRUE,TRUE,TRUE
vinodh,Teams,TRUE,TRUE,TRUE,TRUE
vinodh,Testimonials,TRUE,TRUE,TRUE,TRUE
vinodh,Careers / Jobs,TRUE,TRUE,TRUE,TRUE
,,,,,
junaid.ramzan,Products,TRUE,TRUE,TRUE,TRUE
junaid.ramzan,Categories,TRUE,TRUE,TRUE,TRUE
junaid.ramzan,Brands,TRUE,TRUE,TRUE,TRUE
junaid.ramzan,Events & News,TRUE,TRUE,TRUE,TRUE
junaid.ramzan,Subscriptions,TRUE,TRUE,TRUE,TRUE
junaid.ramzan,Enquiries,TRUE,TRUE,TRUE,TRUE
junaid.ramzan,Teams,TRUE,TRUE,TRUE,TRUE
junaid.ramzan,Testimonials,TRUE,TRUE,TRUE,TRUE
junaid.ramzan,Careers / Jobs,TRUE,TRUE,TRUE,TRUE
